EmployeeID,Name,Gender,Department,City,Age,Salary,Email,HireDate
E1000,Ahmed Khan,Male,Sales,Lahore,33,77872,bilal.qureshi@example.com,2022-05-04
E1001,Sara Raza,Female,HR,,26,87694,sara.iqbal@example.com,2020-10-04
E1002,Ahmed Malik,Female,,Lahore,49,85089,ahmed.hussain@example.com,2018-11-09
E1003,Ali Khan,Female,Operations,Karachi,39,60403,hina.qureshi@example.com,2020-06-10
E1004,Sara Khan,Female,Operations,Multan,43,70399,zain.ahmed@example.com,2021-09-19
E1005,Bilal Iqbal,Female,,Faisalabad,48,31240,bilal.hussain@example.com,2021-04-10
E1006,Nida Hussain,Female,Finance,Lahore,31,67783,nida.malik@example.com,2022-07-15
E1007,Ali Sheikh,Female,IT,Lahore,30,43247,omar.malik@example.com,2017-10-30
E1008,Fatima Hussain,Male,,Lahore,39,50283,zain.qureshi@example.com,2015-09-19
E1009,Fatima Malik,Male,Sales,Lahore,35,82810,ayesha.malik@example.com,2017-03-05
E1010,Ahmed Ahmed,Male,,Karachi,27,Rs 73754,ahmed.hussain@example.com,2017-02-16
E1011,Nida Hussain,Male,Marketing,,30,57874,fatima.khan@example.com,2019-12-28
E1012,Hina Malik,Male,HR,Karachi,27,66116,hina.khan@example.com,2021-07-05
E1013,Omar Malik,Male,Marketing,Lahore,31,67641,hina.malik@example.com,2016-03-03
E1014,Nida Ahmed,Female,Finance,Faisalabad,44,33980,ali.sheikh@example.com,2022-01-12
E1015,Ahmed Khan,Male,Operations,Karachi,45,38943,ayesha.raza@example.com,2020-03-21
E1016,Zain Malik,Female,Marketing,Karachi,54,75980,ayeshaahmedexample.com,2017-12-08
E1017,Ahmed Iqbal,Female,Operations,Islamabad,54,30916,omar.malik@example.com,2015-10-05
E1018,Fatima Sheikh,Male,HR,Lahore,55,58086,sara.khan@example.com,07/02/2022
E1019,Sara Hussain,Female,Sales,Multan,34,64070,bilal.iqbal@example.com,22/02/2021
E1020,Ahmed Sheikh,Female,HR,Lahore,32,33980,nida.malik@example.com,2020-11-20
E1021,Sara Sheikh,Male,Finance,Faisalabad,35,79051,bilal.raza@example.com,2015-05-23
E1022,Zain Raza,Male,Sales,,23,82252,zain.khan@example.com,2018-08-27
E1023,Ali Raza,Male,,Faisalabad,52,70823,hina.sheikh@example.com,2022-07-10
